,Datum
1435,2022-09-16
1436,2022-09-19
1437,2022-09-20
1438,2022-09-21
1439,2022-09-22
1440,2022-09-23
1441,2022-09-26
1442,2022-09-27
1443,2022-09-29
1444,2022-09-30
1445,2022-10-03
1446,2022-10-04
1447,2022-10-05
1448,2022-10-06
1449,2022-10-07
1450,2022-10-10
1451,2022-10-11
1452,2022-10-12
1453,2022-10-13
1454,2022-10-14
1455,2022-10-17
1456,2022-10-18
1457,2022-10-19
1458,2022-10-20
1459,2022-10-21
1460,2022-10-24
1461,2022-10-25
1462,2022-10-26
1463,2022-10-27
1464,2022-10-31
1465,2022-11-01
1466,2022-11-02
1467,2022-11-03
1468,2022-11-04
1469,2022-11-07
1470,2022-11-08
1471,2022-11-09
1472,2022-11-10
1473,2022-11-11
1474,2022-11-14
1475,2022-11-15
1476,2022-11-16
1477,2022-11-18
1478,2022-11-21
1479,2022-11-22
1480,2022-11-23
1481,2022-11-24
1482,2022-11-25
1483,2022-11-28
1484,2022-11-29
1485,2022-11-30
1486,2022-12-01
1487,2022-12-02
1488,2022-12-05
1489,2022-12-06
1490,2022-12-07
1491,2022-12-08
1492,2022-12-09
1493,2022-12-12
1494,2022-12-13
1495,2022-12-14
